text/html,5
image/gif,24
text/css,6
application/x-javascript,27
application/javascript,15
image/svg+xml,1
image/jpeg,54
image/png,11
application/json,8
text/javascript,10
text/json,1
application/x-shockwave-flash,6
video/x-flv,1
